what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1420204090718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204092296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204113578
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1420204113750
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1420204113750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204118609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204120453
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1420204123078
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1420204123625
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1420204124296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204164937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204282937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204315968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204315984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204316187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204325859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204342312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420204833734
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1420204836078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1420204837234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1420204839218
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1420204842906
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1420204868875
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1420204868875
