what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1441372915638
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1441372917059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1441372919028
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1441372922841
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1441372938309
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441372938341
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1441372949059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441372956091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441372956106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441372956263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441372987528
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1441372990372
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1441372991559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1441372993341
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1441372997122
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1441373012950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441373012981
