what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420379897754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420379897754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420379897786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420379897864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380110973
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1420380113520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1420380114411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1420380115926
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1420380119864
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1420380132879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420380132911
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1420380138379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380169426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380190379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380194051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380194051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380194161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380326661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380328161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380329551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380331958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380391911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380393973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380393989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380394067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380532567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380538442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380539942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380540958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380572333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380616254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380617161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380617176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380617286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380658379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380659270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380659270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380659379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380664614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380666708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380666708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380666833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380876833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380878083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380878098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380878176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380974489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420380976442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420381220723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420381221801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420381222848
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420381223083
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1420381223989
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1420381224020
activated,perspective,org.eclipse.debug.ui,,"org.eclipse.debug.ui.DebugPerspective",1420455895084
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1420455895084
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1420455895084
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1420455895084
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1420455895084
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1420455895084
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1420455895100
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1420455895100
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1420455895100
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1420455895100
